Symbol,Price,Type,Time
DOLF20,4066.0,ASK,09:02:15.11716
DOLF20,4067.0,ASK,09:02:15.12023
DOLF20,4067.0,BID,09:02:15.142789
DOLF20,4066.0,BID,09:02:15.143007
DOLF20,4067.0,BID,09:02:15.144767
DOLF20,4066.0,BID,09:02:15.144984
DOLF20,4065.0,ASK,09:02:16.924495
DOLF20,4067.0,ASK,09:02:16.925160
DOLF20,4065.0,BID,09:02:16.925198
DOLF20,4066.0,BID,09:02:17.377488
DOLF20,4066.0,ASK,09:02:17.379058
DOLF20,4067.0,ASK,09:02:17.379187
DOLF20,4066.0,ASK,09:02:17.819501
DOLF20,4065.0,BID,09:02:17.819630
DOLF20,4066.0,BID,09:02:17.871500
DOLF20,4067.0,ASK,09:02:17.871717
DOLF20,4065.0,BID,09:02:17.871753
DOLF20,4066.0,ASK,09:02:17.923496
DOLF20,4066.0,BID,09:02:18.26405
DOLF20,4065.0,BID,09:02:18.26531
DOLF20,4066.0,BID,09:02:18.184238
DOLF20,4067.0,ASK,09:02:18.184456
DOLF20,4065.0,BID,09:02:18.184493
DOLF20,4066.0,ASK,09:02:18.668451
DOLF20,4066.0,BID,09:02:18.670499
DOLF20,4065.0,BID,09:02:18.670663
DOLF20,4066.0,BID,09:02:18.671513
DOLF20,4067.0,ASK,09:02:18.671767
DOLF20,4065.0,BID,09:02:18.671807
DOLF20,4066.0,ASK,09:02:18.672497
DOLF20,4067.0,BID,09:02:20.263432
DOLF20,4067.0,ASK,09:02:20.263571
DOLF20,4065.0,BID,09:02:20.263792
DOLF20,4066.0,BID,09:02:20.285447
DOLF20,4066.0,ASK,09:02:22.324020
DOLF20,4067.0,ASK,09:02:22.324153
DOLF20,4066.0,ASK,09:02:25.627262
DOLF20,4065.0,BID,09:02:25.628207
DOLF20,4066.0,BID,09:02:26.340236
DOLF20,4065.0,BID,09:02:26.340549
DOLF20,4066.0,BID,09:02:26.344779
DOLF20,4065.0,BID,09:02:26.344911
DOLF20,4066.0,BID,09:02:26.348315
DOLF20,4067.0,ASK,09:02:26.348446
DOLF20,4066.0,BID,09:02:27.444420
DOLF20,4066.0,BID,09:02:27.480801
DOLF20,4066.0,ASK,09:02:27.686491
DOLF20,4066.0,BID,09:02:27.723645
DOLF20,4067.0,ASK,09:02:27.723869
DOLF20,4065.0,BID,09:02:27.723908
DOLF20,4066.0,ASK,09:02:27.932533
DOLF20,4066.0,BID,09:02:28.436493
DOLF20,4067.0,ASK,09:02:28.436714
DOLF20,4065.0,BID,09:02:28.436753
DOLF20,4066.0,ASK,09:02:28.438492
DOLF20,4066.0,BID,09:02:28.438489
DOLF20,4067.0,BID,09:02:28.667496
DOLF20,4066.0,BID,09:02:28.667811
DOLF20,4045.0,ASK,09:02:29.434686
DOLF20,4067.0,ASK,09:02:29.552069
DOLF20,4065.0,BID,09:02:29.552106
DOLF20,4066.0,BID,09:02:29.981494
DOLF20,4066.0,ASK,09:02:30.267547
DOLF20,4067.0,ASK,09:02:30.267769
